Year,Multi-Region Average - Latitude,Multi-Region Average - Depth,Northeast (Spring) - Latitude,Northeast (Spring) - Depth,Eastern Bering Sea - Latitude,Eastern Bering Sea - Depth
1973,,,0,0,,
1974,,,16.23442122,-19.38347375,,
1976,,,23.35556024,16.65667477,,
1978,,,-0.619411921,19.36914272,,
1979,,,17.0788052,1.894910568,,
1980,,,11.10748767,-3.267069677,,
1981,,,18.03276548,29.9425642,,
1982,0,0,13.73539456,0.142358283,0,0
1983,3.563854455,6.815318225,21.05392069,2.738855949,1.891910319,0.512900543
1984,0.004020817,5.137970516,8.761024171,-1.725566815,-2.346659019,5.714375776
1985,0.318148679,15.78955468,12.67165617,11.73752997,2.177996154,8.491388832
1986,3.420851965,9.876131738,28.07369092,-3.535820191,-10.08451705,4.642861895
1987,1.805501318,11.43116163,22.66356451,12.61111358,-5.865603243,4.39779906
1988,4.741833541,10.59518512,30.53679407,18.32938702,-2.873125937,6.4812159
1989,2.689776963,20.88407931,13.24348986,31.58113151,0.449985417,10.92181986
1990,0.408466143,16.89435006,15.58087133,23.94022196,-0.387523018,8.274143205
1991,6.791222722,15.9212456,24.05801325,6.468744869,5.491244352,11.40089247
1992,2.928127738,19.38266378,20.07777688,17.54633503,-8.281503681,19.60060258
1993,3.823982597,17.09471741,17.16521684,36.3249856,-5.537399543,4.278668335
1994,4.609723077,18.85179841,34.98500966,45.19041583,-7.348209653,1.984705221
1995,10.0605514,14.02831534,38.39667314,13.85216579,-5.189924325,5.804317668
1996,6.758755484,22.54321961,35.58947425,46.2994816,-3.854403266,9.656449707
1997,5.120433148,13.49229083,33.7184535,12.62223621,-6.243419245,2.896439774
1998,3.97411512,26.18417022,27.82226624,51.57847255,-6.290863459,4.255649458
1999,8.670699891,17.37978401,30.97156985,11.02890654,-4.484616306,10.66112059
2000,15.32158216,20.81544466,42.58453371,18.18379176,2.005238643,5.191690419
2001,15.10914891,18.36301859,40.10536088,12.71571163,-1.481856588,12.58530341
2002,13.70973329,15.21985993,43.29779196,30.5820482,2.782838784,0.618906463
2003,8.520800588,20.80566463,30.96084668,51.787175,7.593584517,3.723760485
2004,7.223902217,23.3251668,24.34686074,37.8428974,3.167221785,8.533278673
2005,11.27624207,23.33184363,29.02259866,41.97056686,6.670007133,4.295301828
2006,11.03395456,19.40812541,30.2221455,24.98500672,-1.383721954,9.035441315
2007,10.39976843,22.33367748,37.32017767,49.08115064,-0.240080745,3.630493496
2008,14.31655329,25.60212959,40.9704879,40.90260649,4.853330432,7.285274494
2009,10.22344215,27.91603723,43.68657326,52.12255473,0.162916254,13.65545577
2010,15.15296814,34.4967906,41.18959619,60.03238525,3.779285296,7.587610072
2011,9.518278224,28.20469217,32.60174797,44.28895027,-1.763753585,8.492663785
2012,9.761443402,19.51441273,39.20471639,24.3491103,-4.828000138,5.412246724
2013,18.49428639,25.46469398,47.43226989,54.32153373,1.075325882,-1.590463236
2014,16.94011498,26.87432629,,,3.029677741,6.723735
2015,19.16874988,33.74397274,48.60456839,66.15627823,6.221833294,5.683849612
2016,29.94253235,23.62970183,53.85383497,32.23016504,18.88148298,6.068151447
2017,22.9641398,29.39089604,49.72282891,73.53023693,14.02556059,1.530920429
2018,18.018428,26.41251108,47.63513462,50.20137162,8.339057871,3.81352494
2019,,,43.15625651,58.32644327,,
